row_type,label,value,extra
history,2023-11-22,324.66,377.96
history,2023-11-23,321.0,373.17
history,2023-11-24,323.29,375.8
history,2023-11-25,330.14,384.68
history,2023-11-26,324.9,378.36
history,2023-11-27,314.84,366.37
history,2023-11-28,327.06,381.96
history,2023-11-29,330.1,386.64
history,2023-11-30,330.41,386.11
history,2023-12-01,335.2,391.88
history,2023-12-02,352.42,412.09
history,2023-12-03,351.55,410.35
history,2023-12-04,351.89,410.57
history,2023-12-05,355.73,415.4
history,2023-12-06,356.36,418.22
history,2023-12-07,378.77,442.5
history,2023-12-08,404.48,476.66
history,2023-12-09,393.94,463.21
history,2023-12-10,402.54,474.05
history,2023-12-11,379.41,446.54
history,2023-12-12,373.1,439.29
history,2023-12-13,385.06,453.89
history,2023-12-14,403.08,475.46
history,2023-12-15,387.33,457.59
history,2023-12-16,391.85,463.45
history,2023-12-17,380.99,449.71
history,2023-12-18,395.27,468.55
history,2023-12-19,388.93,461.45
history,2023-12-20,423.1,506.19
history,2023-12-21,463.53,557.69
history,2023-12-22,480.05,576.18
history,2023-12-23,511.07,617.04
history,2023-12-24,524.75,635.86
history,2023-12-25,555.06,675.59
history,2023-12-26,523.45,635.01
history,2023-12-27,510.51,613.55
history,2023-12-28,491.58,589.37
history,2023-12-29,503.27,605.88
history,2023-12-30,488.23,586.63
history,2023-12-31,487.02,585.53
history,2024-01-01,519.53,626.82
history,2024-01-02,511.53,616.91
history,2024-01-03,476.51,574.84
history,2024-01-04,502.44,607.58
history,2024-01-05,485.37,585.34
history,2024-01-06,463.83,558.11
history,2024-01-07,447.92,538.01
history,2024-01-08,485.48,585.37
history,2024-01-09,489.55,589.58
history,2024-01-10,505.87,602.66
history,2024-01-11,499.3,592.54
history,2024-01-12,462.27,544.94
history,2024-01-13,477.08,562.35
history,2024-01-14,466.76,551.85
history,2024-01-15,470.47,555.83
history,2024-01-16,484.35,571.67
history,2024-01-17,496.69,589.58
history,2024-01-18,465.93,550.54
history,2024-01-19,464.39,547.99
history,2024-01-20,461.2,544.6
history,2024-01-21,454.78,536.7
history,2024-01-22,422.59,498.32
history,2024-01-23,423.5,502.31
history,2024-01-24,438.65,522.49
history,2024-01-25,431.77,513.99
history,2024-01-26,455.46,544.56
history,2024-01-27,461.83,553.08
history,2024-01-28,467.3,560.51
history,2024-01-29,490.26,589.27
history,2024-01-30,490.04,587.72
history,2024-01-31,472.74,567.12
history,2024-02-01,477.05,572.36
history,2024-02-02,486.05,584.02
history,2024-02-03,476.78,572.22
history,2024-02-04,467.75,560.37
history,2024-02-05,468.4,560.94
history,2024-02-06,475.67,568.1
history,2024-02-07,493.33,590.22
history,2024-02-08,501.23,601.43
history,2024-02-09,520.65,625.75
history,2024-02-10,529.63,637.44
history,2024-02-11,525.39,632.1
history,2024-02-12,547.92,657.34
history,2024-02-13,549.0,659.15
history,2024-02-14,571.63,685.38
history,2024-02-15,562.2,671.5
history,2024-02-16,551.21,658.1
history,2024-02-17,544.86,650.04
history,2024-02-18,559.0,665.49
history,2024-02-19,557.8,661.32
history,2024-02-20,550.65,649.88
history,2024-02-21,537.42,633.85
history,2024-02-22,524.83,616.99
history,2024-02-23,516.59,607.58
history,2024-02-24,534.19,628.62
history,2024-02-25,535.58,626.21
history,2024-02-26,564.6,663.84
history,2024-02-27,566.45,665.9
history,2024-02-28,613.5,726.39
history,2024-02-29,635.25,755.28
history,2024-03-01,654.61,778.12
history,2024-03-02,652.46,775.46
history,2024-03-03,659.16,782.6
history,2024-03-04,682.54,812.11
history,2024-03-05,646.36,764.11
history,2024-03-06,675.13,793.87
history,2024-03-07,722.5,854.25
history,2024-03-08,729.97,864.42
history,2024-03-09,728.9,862.35
history,2024-03-10,728.69,863.72
history,2024-03-11,754.2,892.71
history,2024-03-12,758.08,900.38
history,2024-03-13,804.84,961.64
history,2024-03-14,840.91,1011.78
history,2024-03-15,853.8,1032.35
history,2024-03-16,836.09,1013.72
history,2024-03-17,913.17,1112.28
history,2024-03-18,887.55,1082.73
history,2024-03-19,779.51,950.52
history,2024-03-20,873.32,1064.64
history,2024-03-21,826.73,1002.75
history,2024-03-22,802.65,975.78
history,2024-03-23,798.42,970.39
history,2024-03-24,843.69,1027.62
history,2024-03-25,871.34,1060.87
history,2024-03-26,876.7,1068.0
history,2024-03-27,858.72,1047.31
history,2024-03-28,873.89,1065.88
history,2024-03-29,879.51,1074.33
history,2024-03-30,886.11,1082.87
history,2024-03-31,921.73,1125.56
history,2024-04-01,880.08,1075.16
history,2024-04-02,827.17,1011.09
history,2024-04-03,842.8,1030.64
history,2024-04-04,844.08,1033.63
history,2024-04-05,810.84,990.19
history,2024-04-06,828.68,1013.0
history,2024-04-07,834.83,1017.78
history,2024-04-08,849.88,1030.44
history,2024-04-09,811.65,985.53
history,2024-04-10,819.04,994.92
history,2024-04-11,814.04,989.38
history,2024-04-12,737.77,897.2
history,2024-04-13,676.67,823.52
history,2024-04-14,724.61,882.02
history,2024-04-15,675.78,818.55
history,2024-04-16,668.64,810.16
history,2024-04-17,646.04,782.33
history,2024-04-18,686.9,834.39
history,2024-04-19,689.37,838.12
history,2024-04-20,722.63,878.82
history,2024-04-21,713.78,867.61
history,2024-04-22,747.25,910.76
history,2024-04-23,739.11,899.16
history,2024-04-24,709.39,861.64
history,2024-04-25,700.73,849.92
history,2024-04-26,679.22,822.26
history,2024-04-27,689.23,830.62
history,2024-04-28,677.44,814.64
history,2024-04-29,677.32,816.77
history,2024-04-30,629.15,758.81
history,2024-05-01,648.79,784.06
history,2024-05-02,661.68,800.89
history,2024-05-03,692.33,839.63
history,2024-05-04,702.62,853.32
history,2024-05-05,702.04,851.96
history,2024-05-06,721.9,879.85
history,2024-05-07,703.09,856.72
history,2024-05-08,680.38,827.41
history,2024-05-09,721.09,879.68
history,2024-05-10,690.91,843.13
history,2024-05-11,687.95,839.21
history,2024-05-12,683.75,833.63
history,2024-05-13,699.8,854.94
history,2024-05-14,677.66,827.5
history,2024-05-15,745.39,913.85
history,2024-05-16,743.87,914.37
history,2024-05-17,786.43,965.89
history,2024-05-18,797.05,978.6
history,2024-05-19,786.13,965.69
history,2024-05-20,867.79,1054.78
history,2024-05-21,840.58,1013.74
history,2024-05-22,832.91,1004.83
history,2024-05-23,828.7,996.96
history,2024-05-24,801.16,963.36
history,2024-05-25,805.4,968.66
history,2024-05-26,789.04,943.98
history,2024-05-27,814.83,975.88
history,2024-05-28,806.7,966.29
history,2024-05-29,801.19,961.33
history,2024-05-30,798.65,959.24
history,2024-05-31,792.79,950.44
history,2024-06-01,796.01,952.88
history,2024-06-02,785.92,940.93
history,2024-06-03,793.22,951.8
history,2024-06-04,821.0,987.73
history,2024-06-05,829.08,996.8
history,2024-06-06,815.39,980.6
history,2024-06-07,783.79,943.11
history,2024-06-08,768.63,923.24
history,2024-06-09,783.75,942.31
history,2024-06-10,771.85,928.11
history,2024-06-11,731.08,879.36
history,2024-06-12,753.8,907.47
history,2024-06-13,722.06,868.2
history,2024-06-14,706.78,847.3
history,2024-06-15,717.25,858.0
history,2024-06-16,738.75,884.38
history,2024-06-17,709.41,849.97
history,2024-06-18,686.46,820.01
history,2024-06-19,681.88,811.15
history,2024-06-20,673.14,801.4
history,2024-06-21,675.53,803.77
history,2024-06-22,672.19,800.3
history,2024-06-23,650.96,774.55
history,2024-06-24,655.44,780.56
history,2024-06-25,674.16,804.55
history,2024-06-26,671.63,801.39
history,2024-06-27,718.18,859.96
history,2024-06-28,681.09,813.18
history,2024-06-29,683.23,816.44
history,2024-06-30,710.13,850.75
history,2024-07-01,711.03,851.79
history,2024-07-02,732.44,879.91
history,2024-07-03,681.99,817.16
history,2024-07-04,624.95,748.92
history,2024-07-05,645.06,777.52
history,2024-07-06,680.41,821.72
history,2024-07-07,633.32,763.46
history,2024-07-08,663.19,799.84
history,2024-07-09,673.36,812.48
history,2024-07-10,675.97,814.3
history,2024-07-11,654.78,786.43
history,2024-07-12,669.0,804.18
history,2024-07-13,680.87,819.15
history,2024-07-14,704.87,849.23
history,2024-07-15,760.98,916.7
history,2024-07-16,762.22,920.16
history,2024-07-17,742.15,895.21
history,2024-07-18,754.55,909.9
history,2024-07-19,796.02,963.22
history,2024-07-20,813.02,985.25
history,2024-07-21,851.05,1034.96
history,2024-07-22,828.66,1008.82
history,2024-07-23,805.72,976.1
history,2024-07-24,818.17,997.17
history,2024-07-25,794.23,972.13
history,2024-07-26,838.64,1028.02
history,2024-07-27,840.82,1031.82
history,2024-07-28,845.04,1036.81
history,2024-07-29,836.49,1022.76
history,2024-07-30,821.82,1004.67
history,2024-07-31,793.02,967.6
history,2024-08-01,779.81,952.03
history,2024-08-02,715.72,873.2
history,2024-08-03,679.51,828.41
history,2024-08-04,652.09,798.51
history,2024-08-05,609.0,748.83
history,2024-08-06,661.75,817.69
history,2024-08-07,658.15,816.62
history,2024-08-08,742.28,918.99
history,2024-08-09,716.67,888.0
history,2024-08-10,708.75,877.35
history,2024-08-11,661.2,815.67
history,2024-08-12,683.68,839.27
history,2024-08-13,686.48,844.67
history,2024-08-14,672.28,826.16
history,2024-08-15,663.41,817.03
history,2024-08-16,655.32,806.71
history,2024-08-17,665.33,819.44
history,2024-08-18,665.93,819.48
history,2024-08-19,674.49,830.56
history,2024-08-20,667.82,823.81
history,2024-08-21,672.24,829.17
history,2024-08-22,672.25,828.86
history,2024-08-23,716.51,884.35
history,2024-08-24,742.27,917.82
history,2024-08-25,735.94,910.41
history,2024-08-26,725.56,898.19
history,2024-08-27,678.08,841.71
history,2024-08-28,669.02,827.01
history,2024-08-29,656.94,811.54
history,2024-08-30,649.8,802.12
history,2024-08-31,640.05,789.75
history,2024-09-01,612.06,755.07
history,2024-09-02,639.78,788.61
history,2024-09-03,608.35,750.58
history,2024-09-04,630.35,778.65
history,2024-09-05,610.19,753.88
history,2024-09-06,587.27,727.47
history,2024-09-07,598.17,740.01
history,2024-09-08,607.79,752.27
history,2024-09-09,630.67,781.59
history,2024-09-10,634.83,786.39
history,2024-09-11,622.36,771.69
history,2024-09-12,636.71,790.22
history,2024-09-13,653.71,811.41
history,2024-09-14,645.52,801.13
history,2024-09-15,622.19,773.61
history,2024-09-16,619.41,770.12
history,2024-09-17,625.15,777.6
history,2024-09-18,636.82,792.85
history,2024-09-19,671.58,835.73
history,2024-09-20,687.21,852.82
history,2024-09-21,699.02,866.39
history,2024-09-22,682.85,846.7
history,2024-09-23,684.07,845.66
history,2024-09-24,713.15,884.12
history,2024-09-25,692.49,858.99
history,2024-09-26,723.26,898.79
history,2024-09-27,733.51,910.33
history,2024-09-28,730.4,907.01
history,2024-09-29,735.12,913.62
history,2024-09-30,708.86,879.62
history,2024-10-01,675.11,839.25
history,2024-10-02,656.0,817.21
history,2024-10-03,643.81,801.97
history,2024-10-04,669.56,834.22
history,2024-10-05,668.09,832.29
history,2024-10-06,682.69,851.01
history,2024-10-07,672.83,838.36
history,2024-10-08,671.13,835.41
history,2024-10-09,652.41,812.38
history,2024-10-10,650.8,809.48
history,2024-10-11,678.3,845.12
history,2024-10-12,684.65,852.53
history,2024-10-13,687.3,856.04
history,2024-10-14,731.14,909.87
history,2024-10-15,723.41,901.4
history,2024-10-16,723.07,901.23
history,2024-10-17,709.37,883.45
history,2024-10-18,728.01,907.2
history,2024-10-19,743.66,927.3
history,2024-10-20,772.04,961.24
history,2024-10-21,764.11,952.54
history,2024-10-22,766.31,957.06
history,2024-10-23,773.63,969.88
history,2024-10-24,798.59,1002.85
history,2024-10-25,751.4,943.72
history,2024-10-26,773.22,970.87
history,2024-10-27,795.3,999.41
history,2024-10-28,806.11,1012.92
history,2024-10-29,817.96,1027.95
history,2024-10-30,802.92,1007.35
history,2024-10-31,773.04,971.86
history,2024-11-01,764.23,959.93
history,2024-11-02,762.42,958.18
history,2024-11-03,748.81,941.26
history,2024-11-04,729.26,917.19
history,2024-11-05,763.04,961.52
history,2024-11-06,851.56,1070.93
history,2024-11-07,888.18,1112.65
history,2024-11-08,903.35,1130.52
history,2024-11-09,909.36,1132.42
history,2024-11-10,953.23,1190.34
history,2024-11-11,1014.98,1270.67
history,2024-11-12,975.16,1222.83
history,2024-11-13,988.8,1244.62
history,2024-11-14,958.48,1207.32
history,2024-11-15,997.0,1258.93
history,2024-11-16,989.32,1247.43
history,2024-11-17,1058.84,1339.55
history,2024-11-18,1071.32,1351.58
history,2024-11-19,1066.58,1350.32
history,2024-11-20,1060.57,1345.48
history,2024-11-21,1149.21,1453.83
history,2024-11-22,1147.55,1453.13
history,2024-11-23,1142.42,1443.14
history,2024-11-24,1134.45,1434.12
history,2024-11-25,1064.3,1337.02
history,2024-11-26,1048.06,1318.12
history,2024-11-27,1103.03,1380.93
history,2024-11-28,1085.1,1360.13
history,2024-11-29,1108.43,1391.46
history,2024-11-30,1090.13,1362.75
history,2024-12-01,1089.7,1362.64
history,2024-12-02,1047.22,1308.6
history,2024-12-03,1075.04,1345.81
history,2024-12-04,1069.74,1333.11
history,2024-12-05,1080.84,1346.94
history,2024-12-06,1103.11,1371.55
history,2024-12-07,1108.02,1378.07
history,2024-12-08,1104.48,1374.37
history,2024-12-09,1024.33,1277.31
history,2024-12-10,1008.66,1259.43
history,2024-12-11,1068.74,1334.01
history,2024-12-12,1066.47,1328.34
history,2024-12-13,1062.78,1323.63
history,2024-12-14,1044.73,1301.59
history,2024-12-15,1065.66,1328.15
history,2024-12-16,1045.67,1302.18
history,2024-12-17,1064.74,1330.76
history,2024-12-18,990.19,1238.49
history,2024-12-19,939.11,1177.17
history,2024-12-20,940.9,1177.73
history,2024-12-21,892.98,1119.76
history,2024-12-22,883.29,1107.62
history,2024-12-23,918.29,1147.91
history,2024-12-24,952.57,1192.97
history,2024-12-25,955.49,1197.22
history,2024-12-26,913.04,1145.0
history,2024-12-27,895.05,1120.35
history,2024-12-28,936.32,1172.42
history,2024-12-29,914.11,1143.93
history,2024-12-30,916.81,1146.5
history,2024-12-31,911.83,1141.5
history,2025-01-01,929.79,1164.93
history,2025-01-02,983.85,1233.78
history,2025-01-03,1023.89,1281.37
history,2025-01-04,1021.85,1276.91
history,2025-01-05,1010.57,1263.13
history,2025-01-06,1037.43,1299.12
history,2025-01-07,963.49,1209.81
history,2025-01-08,942.59,1183.09
history,2025-01-09,892.64,1119.84
history,2025-01-10,906.95,1138.5
history,2025-01-11,908.48,1139.85
history,2025-01-12,909.75,1142.04
history,2025-01-13,887.07,1117.22
history,2025-01-14,909.14,1144.38
history,2025-01-15,984.88,1238.02
history,2025-01-16,997.19,1258.61
history,2025-01-17,1039.25,1311.14
history,2025-01-18,1175.55,1494.82
history,2025-01-19,1128.53,1434.43
history,2025-01-20,1104.47,1401.3
history,2025-01-21,1141.38,1450.88
history,2025-01-22,1156.75,1472.09
history,2025-01-23,1147.36,1456.68
history,2025-01-24,1148.07,1459.19
history,2025-01-25,1157.13,1470.64
history,2025-01-26,1100.08,1397.62
history,2025-01-27,1077.9,1370.32
history,2025-01-28,1047.28,1333.5
history,2025-01-29,1055.5,1344.79
history,2025-01-30,1098.3,1396.51
history,2025-01-31,1070.37,1356.44
history,2025-02-01,1002.26,1272.8
history,2025-02-02,953.76,1216.29
history,2025-02-03,1005.17,1285.64
history,2025-02-04,963.69,1234.2
history,2025-02-05,925.55,1181.6
history,2025-02-06,901.99,1154.48
history,2025-02-07,908.15,1164.84
history,2025-02-08,933.03,1196.87
history,2025-02-09,935.96,1200.83
history,2025-02-10,938.27,1203.41
history,2025-02-11,925.34,1187.33
history,2025-02-12,929.31,1189.34
history,2025-02-13,917.36,1174.98
history,2025-02-14,938.81,1201.82
history,2025-02-15,919.84,1178.33
history,2025-02-16,896.16,1147.46
history,2025-02-17,861.52,1099.1
history,2025-02-18,830.27,1060.86
history,2025-02-19,833.51,1064.27
history,2025-02-20,861.1,1100.67
history,2025-02-21,830.53,1062.01
history,2025-02-22,845.26,1077.79
history,2025-02-23,832.46,1058.8
history,2025-02-24,727.21,928.93
history,2025-02-25,728.34,929.02
history,2025-02-26,684.07,873.72
history,2025-02-27,693.38,887.07
history,2025-02-28,725.6,931.25
history,2025-03-01,713.79,917.94
history,2025-03-02,854.95,1097.42
history,2025-03-03,706.36,910.85
history,2025-03-04,719.03,927.39
history,2025-03-05,732.36,944.84
history,2025-03-06,720.21,929.91
history,2025-03-07,698.15,900.92
history,2025-03-08,691.13,889.05
history,2025-03-09,639.75,824.44
